"id","parent_id/id","main_name","name","description","excise_code"
"l10n_ua_product_classification.classification_1","","Живі  тварини","01","Живі  тварини",""
"l10n_ua_product_classification.product_classification_79520","l10n_ua_product_classification.classification_1","","0101","Коні,  віслюки,  мули  та  лошаки,  живі:",""
"l10n_ua_product_classification.product_classification_79521","l10n_ua_product_classification.product_classification_79520","","","коні:",""
"l10n_ua_product_classification.product_classification_79522","l10n_ua_product_classification.product_classification_79521","","0101210000","чистопородніплемінні  тварини",""
"l10n_ua_product_classification.product_classification_79523","l10n_ua_product_classification.product_classification_79521","","010129","інші:",""
"l10n_ua_product_classification.product_classification_79524","l10n_ua_product_classification.product_classification_79523","","0101291000","для  забою",""
"l10n_ua_product_classification.product_classification_79525","l10n_ua_product_classification.product_classification_79523","","0101299000","інші",""
"l10n_ua_product_classification.product_classification_79526","l10n_ua_product_classification.product_classification_79520","","0101300000","віслюки",""
"l10n_ua_product_classification.product_classification_79527","l10n_ua_product_classification.product_classification_79520","","0101900000","інші",""
"l10n_ua_product_classification.product_classification_79528","l10n_ua_product_classification.classification_1","","0102","Велика  рогата  худоба,  жива:",""
"l10n_ua_product_classification.product_classification_79529","l10n_ua_product_classification.product_classification_79528","","","буйволи:",""
"l10n_ua_product_classification.product_classification_79530","l10n_ua_product_classification.product_classification_79529","","0102310000","чистопородні  племінні  тварини",""
"l10n_ua_product_classification.product_classification_79531","l10n_ua_product_classification.product_classification_79529","","010239","інші:",""
"l10n_ua_product_classification.product_classification_79532","l10n_ua_product_classification.product_classification_79531","","0102391000","свійські  види",""
"l10n_ua_product_classification.product_classification_79533","l10n_ua_product_classification.product_classification_79531","","0102399000","інші",""
"l10n_ua_product_classification.product_classification_79534","l10n_ua_product_classification.product_classification_79528","","","велика  рогата  худоба:",""
"l10n_ua_product_classification.product_classification_79535","l10n_ua_product_classification.product_classification_79534","","010221","чистопородні  племінні  тварини:",""
"l10n_ua_product_classification.product_classification_79536","l10n_ua_product_classification.product_classification_79535","","0102211000","нетелі  (самки  великої  рогатої  худоби  до  першого  отелення)",""
"l10n_ua_product_classification.product_classification_79537","l10n_ua_product_classification.product_classification_79535","","0102213000","корови",""
"l10n_ua_product_classification.product_classification_79538","l10n_ua_product_classification.product_classification_79535","","0102219000","інші",""
"l10n_ua_product_classification.product_classification_79539","l10n_ua_product_classification.product_classification_79534","","010229","інші:",""
"l10n_ua_product_classification.product_classification_79540","l10n_ua_product_classification.product_classification_79539","","","масою  понад  160  кг,  але  не  більш  як  300  кг:",""
"l10n_ua_product_classification.product_classification_79541","l10n_ua_product_classification.product_classification_79540","","0102294100","для  забою",""
