id,c_reg,c_raj,name,name_raj,c_sti
data_ti_sprsti_1,1,2,"ГЕНIЧЕСЬКА ОДПI(ВЕЗ КРИМ,  М. АЛУШТА)",М.АЛУШТА,102
data_ti_sprsti_2,1,3,"ГЕНIЧЕСЬКА ОДПI(ВЕЗ КРИМ, М. АРМЯНСЬК)",М.АРМЯНСЬК,103
data_ti_sprsti_3,1,4,"ГЕНIЧЕСЬКА ОДПI(ВЕЗ КРИМ, М. ДЖАНКОЙ)",М.ДЖАНКОЙ/ДЖАНКОЙСЬКИЙ Р-Н,104
data_ti_sprsti_4,1,5,"ГЕНIЧЕСЬКА ОДПI(ВЕЗ КРИМ, М. ЄВПАТОРIЯ)",М.ЄВПАТОРIЯ,105
data_ti_sprsti_5,1,6,"ГЕНIЧЕСЬКА ОДПI(ВЕЗ КРИМ , М. КЕРЧ)",М.КЕРЧ,106
data_ti_sprsti_6,1,7,"ГЕНIЧЕСЬКА ОДПI(ВЕЗ КРИМ, М. КРАСНОПЕРЕКОПСЬК)",М.КРАСНОПЕРЕКОПСЬК,107
data_ti_sprsti_7,1,8,"ГЕНIЧЕСЬКА ОДПI(ВЕЗ КРИМ, М. САКИ)",М.САКИ,108
data_ti_sprsti_8,1,9,"ГЕНIЧЕСЬКА ОДПI(ВЕЗ КРИМ ,  М.СIМФЕРОПОЛЬ)",М.СIМФЕРОПОЛЬ,109
data_ti_sprsti_9,1,10,"ГЕНIЧЕСЬКА ОДПI(ВЕЗ КРИМ, М. СУДАК)",М.СУДАК,110
data_ti_sprsti_10,1,11,"ГЕНIЧЕСЬКА ОДПI(ВЕЗ КРИМ, М. ФЕОДОСIЯ)",М.ФЕОДОСIЯ,111
data_ti_sprsti_11,1,12,"ГЕНIЧЕСЬКА ОДПI(ВЕЗ КРИМ,  М. ЯЛТА)",М.ЯЛТА,112
data_ti_sprsti_12,1,13,"ГЕНIЧЕСЬКА ОДПI(ВЕЗ КРИМ, М. БАХЧИСАРАЙ/БАХЧИС.Р-Н)",БАХЧИСАРАЙСЬКИЙ Р-Н,113
data_ti_sprsti_13,1,14,"ГЕНIЧЕСЬКА ОДПI(ВЕЗ КРИМ, М. БIЛОГIРСЬК/БIЛОГIР.Р-Н)",БIЛОГIРСЬКИЙ Р-Н,114
data_ti_sprsti_14,1,15,ГЕНIЧЕСЬКА ОДПI(ВЕЗ КРИМ (ДЖАНКОЙСЬКИЙ Р-Н)),ДЖАНКОЙСЬКИЙ Р-Н,115
data_ti_sprsti_15,1,16,"ГЕНIЧЕСЬКА ОДПI(ВЕЗ КРИМ, КIРОВСЬКИЙ Р-Н)",КIРОВСЬКИЙ Р-Н,116
